project,url
Bootstrap, https://github.com/twbs/bootstrap
Bundler, https://github.com/rubygems/bundler
Cloud Native Compute Foundation, https://www.cncf.io/
CocoaPods, https://github.com/cocoapods/cocoapods
code.gov, https://github.com/GSA/code-gov/
Creative Commons, http://opensource.creativecommons.org/community/code-of-conduct/
Crystal, https://github.com/crystal-lang/crystal
curl, https://github.com/curl/curl
Elixir, https://github.com/elixir-lang/elixir
Exercism.io, https://github.com/exercism/exercism
git, https://github.com/git/git
GitLab, https://gitlab.com/gitlab-org/gitlab-foss/
Golang, https://golang.org/conduct
Google, https://opensource.google/docs/releasing/template/CODE_OF_CONDUCT/
IBM, https://github.com/IBM/repo-template
Intel OTC, https://01.org/blogs/2018/intel-covenant-code
Jenkins, https://www.jenkins.io/conduct/
JRuby, https://github.com/jruby/jruby/
JuneteenthConf, https://juneteenthconf.com/
Hanami, http://hanamirb.org/community/#code-of-conduct
Kubernetes, https://github.com/kubernetes/kubernetes/
Linux, https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=8a104f8b5867c682d994ffa7a74093c54469c11f
Mastodon, https://github.com/mastodon/mastodon
Metasploit Framework, https://github.com/rapid7/metasploit-framework
Microsoft, https://opensource.microsoft.com/codeofconduct/
.NET Foundation, https://dotnetfoundation.org/about/code-of-conduct
Node.js, https://github.com/nodejs
rbenv, https://github.com/rbenv/rbenv
React, https://github.com/facebook/react
RSpec, https://github.com/rspec/rspec
RubyGems.org, https://github.com/rubygems/rubygems.org
RVM, https://github.com/rvm/rvm
Salesforce OSS, https://github.com/salesforce/oss-template
Swift, https://swift.org/community/#code-of-conduct
Target, https://github.com/target
TensorFlow, https://github.com/tensorflow/tensorflow
Travis CI, https://travis-ci.community/t/code-of-conduct/64
Twilio, https://github.com/twilio
Visual F#, https://github.com/dotnet/fsharp
WordPress, https://make.wordpress.org/handbook/community-code-of-conduct/
Yarn, https://github.com/yarnpkg/yarn
