Project name, Project URL
Atom, https://github.com/atom/atom
AngularJS, https://github.com/angular/code-of-conduct
Babel, https://github.com/babel/babel
Bootstrap, https://github.com/twbs/bootstrap
Bundler, https://github.com/bundler/bundler
chef-rvm, https://github.com/fnichol/chef-rvm
Cog, https://github.com/operable/cog
Colloquy, http://colloquy.info
Cloud Native Compute Foundation, https://www.cncf.io
Cucumber, https://github.com/cucumber
Crystal, https://github.com/manastech/crystal
curl, https://github.com/bagder/curl
Diaspora, http://github.com/diaspora/diaspora
Discourse, https://github.com/discourse/discourse
Dotnet Foundation, http://www.dotnetfoundation.org/code-of-conduct
Eclipse, https://eclipse.org
Electron, https://github.com/electron/electron
Elixir, https://github.com/elixir-lang/elixir
Exercism.io, https://github.com/exercism/exercism.io
Faveo Helpdesk, https://github.com/ladybirdweb/faveo-helpdesk
freedesktop, https://www.freedesktop.org/wiki/
GitLab, https://github.com/gitlabhq/gitlabhq
Golang, https://golang.org/conduct
Google, https://opensource.google.com/docs/releasing/template/CODE_OF_CONDUCT/
Grav, https://github.com/getgrav/grav
Homebrew-Cask, https://github.com/caskroom/homebrew-cask
Jekyll, https://github.com/jekyll/jekyll
Jenkins, https://jenkins-ci.org/conduct/
Johnny-Five, https://github.com/rwaldron/johnny-five
JRuby, https://github.com/jruby/jruby/
Hanami, http://hanamirb.org/community#code-of-conduct
Kong, https://github.com/mashape/kong/
Kubernetes, https://github.com/kubernetes/kubernetes/
Metasploit Framework, https://github.com/rapid7/metasploit-framework
Mono, https://github.com/mono/mono
Mozilla Webmaker, https://www.webmaker.org/
.NET Foundation, http://www.dotnetfoundation.org/code-of-conduct
PiVPN, https://github.com/pivpn/pivpn
Rails, https://github.com/rails/rails
rbenv, https://github.com/rbenv/rbenv
ROM, https://github.com/rom-rb/rom
RSpec, https://github.com/rspec/rspec
ruby-community, https://github.com/apeiros/ruby-community
rubygems, https://github.com/rubygems/rubygems
RubyGems.org, https://github.com/rubygems/rubygems.org
RVM, https://github.com/rvm/rvm
Shoes, https://github.com/shoes/shoes4
Spring, https://github.com/spring-projects
Swift, https://swift.org/community/#code-of-conduct
Symfony, https://github.com/symfony/symfony
Taiga.io, https://github.com/taigaio/code-of-conduct
TinyMCE, https://www.tinymce.com/docs/advanced/contributing-to-open-source/
Twisted, https://github.com/twisted/twisted
Visual F#, https://github.com/Microsoft/visualfsharp
Volt.rb, https://github.com/voltrb/volt
Vue.js, https://github.com/vuejs/vue
Yarn, https://github.com/yarnpkg/yarn
